Date,Open,High,Low,Close,Adj Close,Volume
2017-08-08,79.038315,79.564240,78.812920,79.301277,69.962700,600945
2017-08-09,78.737793,78.925621,77.723518,78.249435,69.034729,988809
2017-08-10,78.249435,78.362129,77.160027,77.498123,68.371880,922365
2017-08-11,76.934631,77.347855,76.746803,77.272728,68.173042,763576
2017-08-14,77.535690,78.437263,77.535690,78.136742,68.935310,682608
2017-08-15,78.399696,78.625092,78.099174,78.362129,69.134148,476222
2017-08-16,78.662659,79.564240,78.625092,78.775352,69.498711,740750
2017-08-17,78.888054,79.113449,78.324570,78.474831,69.233574,873722
2017-08-18,77.873779,77.873779,77.047333,77.422989,68.305611,1418591
2017-08-21,77.310295,77.498123,76.784370,77.009766,67.941040,735144
2017-08-22,77.272728,78.211868,77.235161,78.024040,68.835876,673531
2017-08-23,77.911346,78.324570,77.798645,77.911346,68.736443,542756
2017-08-24,78.249435,78.399696,77.347855,77.498123,68.371880,823948
2017-08-25,77.873779,78.512398,77.460556,77.460556,68.338745,508734
2017-08-28,77.197594,77.422989,76.709244,76.972198,67.907906,491763
2017-08-29,76.634109,76.634109,75.732529,76.558975,67.543343,965917
2017-08-30,77.047333,77.347855,76.709244,76.972198,67.907906,848697
2017-08-31,77.498123,77.798645,77.047333,77.047333,67.974190,1045247
2017-09-01,77.573250,77.911346,77.310295,77.347855,68.239311,667700
2017-09-04,77.047333,77.422989,76.972198,77.160027,68.073616,399438
2017-09-05,77.235161,77.498123,76.821938,76.897072,67.841621,662382
2017-09-06,76.671677,77.761078,76.483849,77.385422,68.272461,661246
2017-09-07,77.761078,78.211868,77.498123,77.911346,68.736443,845380
2017-09-08,77.610817,77.873779,77.197594,77.610817,68.471313,734210
2017-09-11,78.099174,79.564240,78.024040,79.413971,70.062126,885355
2017-09-12,79.639366,80.653641,79.601807,80.465813,70.990097,1172194
2017-09-13,80.052589,80.240417,79.338844,79.451538,70.095268,1212330
2017-09-14,79.188583,80.616081,79.000748,80.315552,70.857536,986980
2017-09-15,80.353119,80.653641,79.376411,79.564240,70.194695,2350133
2017-09-18,80.127724,80.165291,79.601807,79.902328,70.492973,709078
2017-09-19,79.864761,80.766342,79.827194,80.691208,71.188965,871244
2017-09-20,80.766342,81.179565,80.578514,81.179565,71.619812,769526
2017-09-21,81.667915,82.118706,81.141998,82.118706,72.448341,1301707
2017-09-22,81.893311,82.832458,81.893311,82.456802,72.746628,1175251
2017-09-25,82.419235,82.757324,82.193840,82.569496,72.846054,702745
2017-09-26,82.419235,83.771599,82.344101,83.771599,73.906601,1316953
2017-09-27,84.034561,84.485352,83.245682,83.283241,73.475746,1234467
2017-09-28,83.395943,84.259956,83.057854,83.809166,73.939743,970380
2017-09-29,83.921860,84.785873,83.471077,84.785873,74.801422,1542629
2017-10-02,85.785126,85.785126,84.752068,85.371902,75.318451,1072996
2017-10-03,86.776855,87.107437,86.157021,86.446281,76.266312,898698
2017-10-04,86.404961,86.942146,86.115700,86.735535,76.521492,1156411
2017-10-05,86.818184,86.859505,86.157021,86.652893,76.448593,834276
2017-10-06,86.652893,86.735535,85.950417,86.157021,76.011108,676167
2017-10-09,86.446281,86.611572,86.115700,86.487602,76.302765,501269
2017-10-10,86.074379,86.611572,85.867767,86.157021,76.011108,665364
2017-10-11,86.157021,86.363632,85.578514,85.950417,75.828835,746691
2017-10-12,85.785126,86.074379,85.619835,85.909088,75.792381,656744
2017-10-13,86.033058,86.487602,85.702477,86.280991,76.120476,658909
2017-10-16,86.363632,86.942146,86.115700,86.446281,76.266312,651926
2017-10-17,86.363632,86.611572,85.826447,85.826447,75.719467,789043
2017-10-18,85.743797,86.446281,85.661156,85.950417,75.828835,749686
2017-10-19,85.743797,85.909088,85.206612,85.867767,75.755920,1089514
2017-10-20,85.950417,86.735535,85.826447,86.735535,76.521492,1182104
2017-10-23,86.735535,87.768593,86.652893,87.231407,76.958977,1124805
2017-10-24,86.900826,87.396690,86.363632,86.404961,76.229851,1139231
2017-10-25,87.438019,89.338844,87.314049,88.553719,78.125572,1916440
2017-10-26,88.925621,89.380165,88.305786,89.380165,78.854698,1817516
2017-10-27,89.462807,90.743797,89.380165,90.247932,79.620277,1335640
2017-10-30,90.247932,90.413223,89.380165,90.082642,79.474449,800082
2017-10-31,90.330582,90.413223,89.958679,90.330582,79.693184,812116
2017-11-01,90.454544,91.528923,90.206612,91.322311,80.568146,1059482
2017-11-02,91.280991,91.652893,91.074379,91.570244,80.786873,829961
2017-11-03,91.528923,92.107437,91.280991,92.107437,81.260803,857661
2017-11-06,91.818184,92.231407,91.528923,91.652893,80.859779,829717
2017-11-07,91.652893,91.900826,90.454544,90.909088,80.203583,1184193
2017-11-08,90.867767,91.611572,89.917358,90.123962,79.510902,1227221
2017-11-09,89.793388,90.123962,88.181816,88.181816,77.797470,1691535
2017-11-10,88.016525,88.677689,87.851242,88.140495,77.761009,1443036
2017-11-13,88.471077,88.471077,86.859505,87.272728,76.995430,938348
2017-11-14,87.685951,88.595039,86.818184,87.107437,76.849609,1022177
2017-11-15,86.776855,87.024796,86.074379,86.776855,76.557953,1096226
2017-11-16,87.190079,87.644630,86.859505,87.107437,76.849609,830662
2017-11-17,87.148758,87.479340,86.446281,86.859505,76.630867,977876
2017-11-20,86.776855,88.016525,86.570244,87.727272,77.396454,863080
2017-11-21,87.603302,89.008263,87.355370,88.595039,78.162025,1051583
2017-11-22,88.181816,88.512398,87.520660,87.520660,77.214165,857818
2017-11-23,87.355370,88.140495,87.107437,87.727272,77.396454,666789
2017-11-24,87.561981,88.595039,87.355370,87.851242,77.505821,658743
2017-11-27,87.479340,88.099174,86.983475,86.983475,76.740242,759081
2017-11-28,87.024796,87.355370,86.652893,87.107437,76.849609,799584
